"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"forcats","packages/x86_64-w64-mingw32/4.0/","0.5.1",NA,NA,NA,NA
"foreach","packages/x86_64-w64-mingw32/4.0/","1.5.2",NA,NA,NA,NA
"Formula","packages/x86_64-w64-mingw32/4.0/","1.2-4",NA,NA,NA,NA
"fpCompare","packages/x86_64-w64-mingw32/4.0/","0.2.3",NA,NA,NA,NA
"fs","packages/x86_64-w64-mingw32/4.0/","1.5.0",NA,NA,NA,NA
"future","packages/x86_64-w64-mingw32/4.0/","1.21.0",NA,NA,NA,NA
"future.apply","packages/x86_64-w64-mingw32/4.0/","1.7.0",NA,NA,NA,NA
"gargle","packages/x86_64-w64-mingw32/4.0/","1.2.0",NA,NA,NA,NA
"gdalUtilities","packages/x86_64-w64-mingw32/4.0/","1.2.0",NA,NA,NA,NA
"gdalUtils","packages/x86_64-w64-mingw32/4.0/","2.0.3.2",NA,NA,NA,NA
"generics","packages/x86_64-w64-mingw32/4.0/","0.1.2",NA,NA,NA,NA
"gert","packages/x86_64-w64-mingw32/4.0/","1.3.1",NA,NA,NA,NA
"ggplot2","packages/x86_64-w64-mingw32/4.0/","3.3.5",NA,NA,NA,NA
"ggpubr","packages/x86_64-w64-mingw32/4.0/","0.4.0",NA,NA,NA,NA
"ggrepel","packages/x86_64-w64-mingw32/4.0/","0.9.1",NA,NA,NA,NA
"ggsci","packages/x86_64-w64-mingw32/4.0/","2.9",NA,NA,NA,NA
"ggsignif","packages/x86_64-w64-mingw32/4.0/","0.6.3",NA,NA,NA,NA
"ggspatial","packages/x86_64-w64-mingw32/4.0/","1.1.5",NA,NA,NA,NA
"gh","packages/x86_64-w64-mingw32/4.0/","1.3.0",NA,NA,NA,NA
"gitcreds","packages/x86_64-w64-mingw32/4.0/","0.1.1",NA,NA,NA,NA
"globals","packages/x86_64-w64-mingw32/4.0/","0.14.0",NA,NA,NA,NA
"glue","packages/x86_64-w64-mingw32/4.0/","1.4.2",NA,NA,NA,NA
"googledrive","packages/x86_64-w64-mingw32/4.0/","2.0.0",NA,NA,NA,NA
"gridBase","packages/x86_64-w64-mingw32/4.0/","0.4-7",NA,NA,NA,NA
"gridExtra","packages/x86_64-w64-mingw32/4.0/","2.3",NA,NA,NA,NA
"gtable","packages/x86_64-w64-mingw32/4.0/","0.3.0",NA,NA,NA,NA
"haven","packages/x86_64-w64-mingw32/4.0/","2.4.2",NA,NA,NA,NA
"hexbin","packages/x86_64-w64-mingw32/4.0/","1.28.2",NA,NA,NA,NA
"highr","packages/x86_64-w64-mingw32/4.0/","0.9",NA,NA,NA,NA
"Hmisc","packages/x86_64-w64-mingw32/4.0/","4.5-0",NA,NA,NA,NA
"hms","packages/x86_64-w64-mingw32/4.0/","1.1.0",NA,NA,NA,NA
